,Unnamed: 0,Participant,Block,Condition,Trial,RT,Correct,Orientation,Agegr,Sacstart,Sacend,Sacduration,Xstart,Ystart,Xend,Yend,Amplitude,Velocity,Larger,Duration
0,65,1,1,AV,1,0.911,1,0,Young,195,258,64,877.5,381.9,1012.1,272.9,3.74,223,False,0.016771300448430494
1,66,1,1,AV,2,2.824,1,0,Young,960,967,8,990.8,261.4,969.5,254.6,0.43,57,False,0.007543859649122807
2,67,1,1,AV,3,1.866,1,0,Young,216,255,40,822.0,260.4,747.9,213.8,1.83,235,False,0.0077872340425531915
3,68,1,1,AV,4,0.771,1,0,Young,157,181,25,851.3,300.9,961.7,275.1,2.16,176,False,0.012272727272727274
4,69,1,1,AV,5,0.953,0,0,Young,688,706,19,938.5,276.2,964.7,257.6,0.68,71,False,0.009577464788732394
5,70,1,1,AV,6,3.722,1,0,Young,134,185,52,761.4,256.7,938.1,293.9,3.42,309,False,0.011067961165048544
6,71,1,1,AV,7,0.673,1,0,Young,455,475,21,960.4,304.9,959.1,276.2,0.74,110,False,0.006727272727272728
7,72,1,1,AV,8,1.063,1,0,Young,857,877,21,967.6,275.5,1002.4,273.8,0.65,90,False,0.007222222222222223
8,73,1,1,AV,9,1.269,1,0,Young,177,222,46,791.6,256.7,916.8,292.0,2.5,303,False,0.00825082508250825
9,74,1,1,AV,10,0.709,0,0,Young,609,613,5,922.9,307.7,925.4,294.8,0.33,46,False,0.0071739130434782614
10,75,1,1,AV,11,0.908,1,0,Young,877,893,17,956.2,302.1,910.5,293.8,0.88,77,False,0.011428571428571429
11,76,1,1,AV,12,0.977,1,0,Young,91,148,58,886.4,365.8,832.2,237.0,3.44,265,False,0.012981132075471698
12,77,1,1,AV,13,6.61,0,0,Young,381,411,31,837.6,230.9,874.6,242.8,0.76,151,False,0.005033112582781457
13,78,1,1,AV,14,0.684,1,0,Young,732,750,19,890.2,240.8,869.2,210.2,0.88,68,False,0.012941176470588235
14,79,1,1,AV,15,0.944,1,0,Young,641,659,19,792.8,245.5,733.0,242.0,1.12,104,False,0.01076923076923077
15,80,1,1,AV,16,0.697,1,0,Young,196,226,31,838.6,221.3,899.3,236.5,1.2,169,False,0.007100591715976331
16,81,1,2,V,1,3.219,1,0,Young,60,65,6,795.6,256.7,796.7,265.4,0.22,54,False,0.004074074074074074
17,82,1,2,V,2,0.781,1,0,Young,173,209,37,793.9,264.0,851.2,275.1,1.1,173,False,0.006358381502890174
18,83,1,2,V,3,5.8,0,0,Young,226,267,42,810.1,232.9,800.6,309.9,1.98,265,False,0.007471698113207547
19,84,1,2,V,4,3.895,1,0,Young,420,457,38,803.9,319.0,788.8,274.0,1.18,250,False,0.004719999999999999
