,Participant,Block,Condition,Trial,RT,Correct,Orientation,Agegr,Sacstart,Sacend,Sacduration,Xstart,Ystart,Xend,Yend,Amplitude,Velocity
65,1,1,AV,1,0.911,1,0,Young,195,258,64,877.5,381.9,1012.1,272.9,3.74,223
66,1,1,AV,2,2.824,1,0,Young,960,967,8,990.8,261.4,969.5,254.6,0.43,57
67,1,1,AV,3,1.866,1,0,Young,216,255,40,822,260.4,747.9,213.8,1.83,235
68,1,1,AV,4,0.771,1,0,Young,157,181,25,851.3,300.9,961.7,275.1,2.16,176
69,1,1,AV,5,0.953,0,0,Young,688,706,19,938.5,276.2,964.7,257.6,0.68,71
70,1,1,AV,6,3.722,1,0,Young,134,185,52,761.4,256.7,938.1,293.9,3.42,309
71,1,1,AV,7,0.673,1,0,Young,455,475,21,960.4,304.9,959.1,276.2,0.74,110
72,1,1,AV,8,1.063,1,0,Young,857,877,21,967.6,275.5,1002.4,273.8,0.65,90
73,1,1,AV,9,1.269,1,0,Young,177,222,46,791.6,256.7,916.8,292,2.5,303
74,1,1,AV,10,0.709,0,0,Young,609,613,5,922.9,307.7,925.4,294.8,0.33,46
75,1,1,AV,11,0.908,1,0,Young,877,893,17,956.2,302.1,910.5,293.8,0.88,77
76,1,1,AV,12,0.977,1,0,Young,91,148,58,886.4,365.8,832.2,237,3.44,265
77,1,1,AV,13,6.61,0,0,Young,381,411,31,837.6,230.9,874.6,242.8,0.76,151
78,1,1,AV,14,0.684,1,0,Young,732,750,19,890.2,240.8,869.2,210.2,0.88,68
79,1,1,AV,15,0.944,1,0,Young,641,659,19,792.8,245.5,733,242,1.12,104
80,1,1,AV,16,0.697,1,0,Young,196,226,31,838.6,221.3,899.3,236.5,1.2,169
81,1,2,V,1,3.219,1,0,Young,60,65,6,795.6,256.7,796.7,265.4,0.22,54
82,1,2,V,2,0.781,1,0,Young,173,209,37,793.9,264,851.2,275.1,1.1,173
83,1,2,V,3,5.8,0,0,Young,226,267,42,810.1,232.9,800.6,309.9,1.98,265
84,1,2,V,4,3.895,1,0,Young,420,457,38,803.9,319,788.8,274,1.18,250
85,1,2,V,5,7.668,0,0,Young,896,918,23,807.3,251.3,864.4,239.7,1.11,124
86,1,2,V,6,2.6,0,0,Young,128,171,44,858.9,257.4,862.1,331.2,1.89,166
87,1,2,V,7,1.126,1,0,Young,599,610,12,877.6,339.6,839.6,345.4,0.72,72
88,1,2,V,8,1.083,0,0,Young,2,225,224,782.7,350.4,789.3,329.1,0.55,585
89,1,2,V,9,0.635,1,0,Young,373,411,39,804.3,324.1,848.1,317.3,0.83,183
90,1,2,V,10,1.869,1,0,Young,988,1009,22,877.1,322.3,918.5,311.1,0.82,103
91,1,2,V,11,0.841,1,0,Young,162,185,24,813.1,229.6,843,319.2,2.36,217
92,1,2,V,12,0.862,1,0,Young,470,488,19,833.5,299.3,775.5,292.4,1.09,110
93,1,2,V,13,3.47,0,0,Young,784,803,20,776.8,312.5,836.9,294.9,1.2,113
94,1,2,V,14,1.042,1,0,Young,55,84,30,756.8,177.6,816.7,281.1,2.88,256
95,1,2,V,15,7.771,1,0,Young,536,556,21,834.7,282.9,806.2,276.3,0.56,80
96,1,2,V,16,0.86,1,0,Young,-20,159,180,867.8,214,812.3,228.6,1.1,426
97,1,3,dAdV,1,1.249,1,3,Young,608,630,23,810.5,226.6,837.3,223.1,0.51,81
98,1,3,dAdV,2,0.781,0,4,Young,916,933,18,829.6,230.4,770.1,228.6,1.11,94
99,1,3,dAdV,3,1.872,1,3,Young,224,260,37,847.6,235.6,847.6,283.3,1.22,204
100,1,3,dAdV,4,0.816,0,4,Young,883,891,9,835,281.9,816.3,285,0.36,49
101,1,3,dAdV,5,4.834,0,1,Young,23,44,22,776.7,219.5,856.5,236.7,1.55,130
102,1,3,dAdV,6,2.678,0,1,Young,280,303,24,844.4,235.3,892.2,276.6,1.38,158
103,1,3,dAdV,7,1.712,1,4,Young,142,181,40,779.8,242.6,871.6,245.5,1.71,228
104,1,3,dAdV,8,2.507,1,3,Young,158,204,47,824.9,277.2,938.5,323.8,2.43,278
105,1,3,dAdV,9,4.463,0,2,Young,510,532,23,947.9,344.3,917.4,318.2,0.87,85
106,1,3,dAdV,10,0.892,1,3,Young,927,943,17,901.9,333.9,938.2,315.3,0.83,75
107,1,3,dAdV,11,1.593,0,4,Young,-95,71,167,831.4,307.3,835.6,288.8,0.48,676
108,1,3,dAdV,12,2.24,0,3,Young,227,260,34,831.6,280.6,856.1,301.5,0.7,152
109,1,3,dAdV,13,6.399,1,2,Young,567,581,15,866.4,305.6,838.2,279.1,0.86,85
110,1,3,dAdV,14,1.026,1,2,Young,90,196,107,814.3,245.3,951.2,317.6,3.15,350
111,1,3,dAdV,15,0.826,1,1,Young,646,668,23,956.3,318.3,970.3,286.4,0.86,120
112,1,3,dAdV,16,4.548,1,4,Young,259,291,33,846.5,205.5,862.7,232.8,0.76,160
113,1,4,A,1,6.073,0,0,Young,600,607,8,868.4,260.2,856.7,242.5,0.5,65
114,1,4,A,2,0.729,1,0,Young,843,847,5,859.8,246.7,861,256.8,0.26,48
115,1,4,A,3,9.896,1,0,Young,987,1008,22,859.4,259.3,911,248.3,1,96
116,1,4,A,4,4.121,1,0,Young,195,219,25,766.6,226.2,815.4,261.1,1.28,157
117,1,4,A,5,4.391,0,0,Young,757,767,11,830.9,252.5,819,224.4,0.75,81
118,1,4,A,6,0.83,1,0,Young,511,529,19,862.9,270.8,895.6,257.2,0.7,83
119,1,4,A,7,6.302,1,0,Young,957,969,13,899.2,262.8,858.5,268.6,0.77,76
120,1,4,A,8,6.631,1,0,Young,156,214,59,793.9,323.1,968,328.3,3.24,276
121,1,4,A,9,1.048,1,0,Young,60,77,18,846.1,238.3,786.5,263.2,1.28,104
122,1,4,A,10,4.84,0,0,Young,217,250,34,791.7,259,824.3,251.7,0.64,145
123,1,4,A,11,1.912,1,0,Young,626,642,17,837.7,257.8,797,248,0.8,66
124,1,4,A,12,0.759,1,0,Young,971,989,19,802.4,255,861.6,257.1,1.1,97
125,1,4,A,13,3.355,1,0,Young,364,378,15,830.5,293.6,865.5,313.7,0.83,79
126,1,4,A,14,1.91,1,0,Young,751,771,21,849.3,302.5,872.3,248.8,1.44,122
127,1,4,A,15,0.819,0,0,Young,234,257,24,850.1,293.7,864.7,360.3,1.72,173
128,1,4,A,16,0.652,1,0,Young,622,645,24,865.6,370,897.5,346.8,0.84,99
129,1,5,dA,1,3.243,0,0,Young,210,245,36,791.8,279.1,859.6,286.3,1.27,182
130,1,5,dA,2,4.256,1,0,Young,623,653,31,872.1,267.5,867.5,239,0.74,122
131,1,5,dA,3,0.833,0,0,Young,962,978,17,870.3,223.8,912.9,204.3,0.94,96
132,1,5,dA,4,1.529,1,0,Young,161,185,25,795.2,244.8,902.6,258.5,2.03,185
133,1,5,dA,5,9.392,0,0,Young,721,732,12,882.8,275.2,899.9,258.7,0.53,63
134,1,5,dA,6,1.193,0,0,Young,-31,26,58,860.5,200.5,946.3,350.3,4.16,244
135,1,5,dA,7,0.759,1,0,Young,196,243,48,953.5,372.1,876.2,254.7,3.33,344
136,1,5,dA,8,1.648,0,0,Young,497,513,17,871.6,233.2,817.1,231.2,1.02,92
137,1,5,dA,9,1.426,0,0,Young,788,838,51,822,240.7,838.7,364.7,3.18,160
138,1,5,dA,10,2.679,0,0,Young,142,200,59,856.3,101.8,962.8,276.3,4.91,404
139,1,5,dA,11,5.934,0,0,Young,302,342,41,968.3,290.9,979,244.6,1.21,227
140,1,5,dA,12,1.52,1,0,Young,849,858,10,938.2,269.2,911.6,263.8,0.52,63
141,1,5,dA,13,0.573,1,0,Young,965,970,6,919.4,269.9,923.8,284.8,0.39,51
142,1,5,dA,14,3.445,0,0,Young,302,349,48,841.9,257.3,867.7,384,3.26,338
143,1,5,dA,15,2.761,0,0,Young,514,572,59,878.4,412.7,857.4,209.1,5.21,430
144,1,5,dA,16,4.603,1,0,Young,919,1022,104,855.5,220,874.5,709.9,12.12,400
145,1,6,AdV,1,5.656,1,2,Young,179,231,53,832.5,265.1,930.2,381.5,3.48,243
146,1,6,AdV,2,1.256,0,4,Young,362,419,58,928.9,410.6,897.4,262.5,3.81,307
147,1,6,AdV,3,10.18,0,3,Young,606,710,105,894.9,268.8,938.1,870.4,14.55,410
148,1,6,AdV,4,3.194,1,3,Young,905,982,78,950.4,842.9,902.2,287.3,13.5,631
149,1,6,AdV,5,2.004,1,4,Young,151,282,132,846.4,391.8,867.5,243.4,3.81,448
150,1,6,AdV,6,2.454,0,3,Young,539,668,130,857.7,241.8,904,926.4,16.44,339
151,1,6,AdV,7,3.572,1,1,Young,842,929,88,904.5,884.1,843.7,220.7,16.04,582
152,1,6,AdV,8,1.725,0,4,Young,-17,2,20,866.7,326.1,932.6,351.3,1.38,125
153,1,6,AdV,9,0.963,0,2,Young,211,252,42,921,351.7,857.9,242.8,3.02,304
154,1,6,AdV,10,2.96,1,4,Young,355,360,6,858.1,231.7,858.4,244.1,0.32,41
155,1,6,AdV,11,0.648,1,3,Young,439,665,227,850.4,253.9,862.3,468.8,5.44,739
156,1,6,AdV,12,0.813,1,1,Young,792,869,78,892.8,899.4,849.2,370.3,12.68,558
157,1,6,AdV,13,0.944,0,1,Young,944,978,35,859.8,373.8,837.8,316.5,1.51,218
158,1,6,AdV,14,3.552,1,1,Young,379,490,112,844.9,257.7,883.1,778,12.76,263
159,1,6,AdV,15,1.07,1,4,Young,644,722,79,876,738.2,867.1,243.5,12.19,629
160,1,6,AdV,16,2.382,0,2,Young,391,475,85,842.1,277.5,905.4,740.3,11.44,383
161,1,7,dV,1,3.038,1,3,Young,641,716,76,922.4,744.6,915.1,227.6,12.73,639
162,1,7,dV,2,2.744,0,2,Young,163,188,26,808.2,318.7,914.9,245.3,2.73,234
163,1,7,dV,3,5.571,1,2,Young,362,483,122,908.1,260,879.5,869.2,14.72,369
164,1,7,dV,4,0.803,1,2,Young,629,721,93,876.6,842.1,854.7,220.3,15.1,675
165,1,7,dV,5,4.268,0,1,Young,322,386,65,843.2,250.1,939.9,449.1,5.37,319
166,1,7,dV,6,4.068,1,4,Young,550,610,61,942.9,447.8,900.5,274.5,4.47,358
167,1,7,dV,7,1.075,0,3,Young,187,239,53,1026.2,385.4,875.2,227.1,4.92,349
168,1,7,dV,8,1.075,1,2,Young,534,616,83,863.7,234.8,869,544.7,7.81,229
169,1,7,dV,9,2.608,0,3,Young,768,840,73,873.7,548.5,852.5,205.8,8.65,604
170,1,7,dV,10,7.473,0,1,Young,-9,54,64,832,274.3,835.9,475.9,5.1,205
171,1,7,dV,11,4.182,1,3,Young,236,299,64,838.7,502,824.1,302.2,5.05,396
172,1,7,dV,12,0.781,1,3,Young,565,626,62,834.7,306.9,863.4,581,6.88,362
173,1,7,dV,13,1.816,0,1,Young,745,811,67,877.6,605.9,855.7,296.9,7.73,501
174,1,7,dV,14,1.591,1,1,Young,27,66,40,874.5,333.6,995.1,397.4,2.76,150
175,1,7,dV,15,1.518,1,4,Young,239,300,62,986,397.2,770.8,189.8,6.64,442
176,1,7,dV,16,0.968,1,4,Young,528,655,128,774.1,198.4,815.4,764.9,13.92,245
177,1,8,dAV,1,0.805,1,0,Young,754,832,79,819,764,762.9,262.2,12.34,638
178,1,8,dAV,2,1.092,1,0,Young,24,76,53,1114,1564.7,1302.8,1640.6,3.18,187
179,1,8,dAV,3,1.546,1,0,Young,242,394,153,1309.2,1621.7,864.2,391.2,26.31,948
180,1,8,dAV,4,5.446,1,0,Young,452,512,61,876.9,403.1,876.5,212.5,4.86,421
181,1,8,dAV,5,0.889,1,0,Young,789,865,77,881.2,244.5,906.2,568.1,8.14,307
182,1,8,dAV,6,1.246,1,0,Young,202,249,48,810.7,247.4,900.3,324,2.57,248
183,1,8,dAV,7,0.936,1,0,Young,403,424,22,914.2,370,896,424.4,1.42,91
184,1,8,dAV,8,2.329,1,0,Young,458,560,103,885.4,392.5,932.5,926.9,12.75,354
185,1,8,dAV,9,1.095,0,0,Young,634,695,62,949.5,924,889,480.6,10.55,571
186,1,8,dAV,10,3.847,1,0,Young,752,797,46,895.8,463,870.1,325.2,3.52,355
187,1,8,dAV,11,0.759,1,0,Young,-35,137,173,849.5,318.7,821.6,327,0.56,527
188,1,8,dAV,12,0.583,1,0,Young,513,574,62,819.8,340.7,852.8,528.5,4.75,351
189,1,8,dAV,13,1.804,1,0,Young,643,690,48,854.7,527.4,849.2,362,4.15,392
190,1,8,dAV,14,1.006,1,0,Young,106,132,27,841.5,295,894.9,262,1.3,92
191,1,8,dAV,15,0.71,1,0,Young,207,244,38,884.2,259.1,952.2,251,1.29,220
192,1,8,dAV,16,1.997,1,0,Young,426,506,81,968.8,240.2,980.5,808.9,13.89,325
193,1,9,V,17,2.302,1,0,Young,599,657,59,972.9,786.9,947,347.7,10.71,617
194,1,9,V,18,2.705,0,0,Young,847,885,39,937.6,333.2,942.2,239.3,2.41,282
195,1,9,V,19,2.472,1,0,Young,440,572,133,842.5,254,920.8,730.9,11.83,292
196,1,9,V,20,0.732,0,0,Young,696,765,70,891.5,663.3,835.3,283.1,9.49,467
197,1,9,V,21,0.8,1,0,Young,943,993,51,849.6,295.9,803.6,232.2,1.84,190
198,1,9,V,22,0.976,1,0,Young,111,148,38,842.6,393.9,827.1,347.5,1.21,187
199,1,9,V,23,0.597,1,0,Young,262,320,59,822.3,326.7,990.9,269,3.47,310
200,1,9,V,24,1.655,1,0,Young,778,972,195,966.4,280.3,1024.8,335.8,1.79,367
201,1,9,V,25,0.685,1,0,Young,435,497,63,825.2,261,894.4,473,5.52,301
202,1,9,V,26,2.466,0,0,Young,596,661,66,896.1,500.1,856.3,275.7,5.71,420
203,1,9,V,27,3.205,0,0,Young,284,309,26,800.4,247.7,675.7,191.7,2.73,218
204,1,9,V,28,3.557,0,0,Young,576,768,193,684.9,207.7,795.3,231,2.14,618
205,1,9,V,29,0.642,0,0,Young,985,1023,39,833.4,235.1,847.2,175.2,1.56,190
206,1,9,V,30,1.518,0,0,Young,186,230,45,850.2,379.4,814.4,286.5,2.46,211
207,1,9,V,31,2.193,1,0,Young,428,535,108,816.3,283.5,907.4,787.4,12.42,229
208,1,9,V,32,0.873,1,0,Young,675,749,75,905.2,718.2,862.1,304.4,10.24,602
209,1,10,A,17,2.092,1,0,Young,113,147,35,825.3,321,836.5,300.2,0.57,137
210,1,10,A,18,1.101,0,0,Young,575,596,22,822.1,274.4,892.1,254.4,1.4,124
211,1,10,A,19,5.018,0,0,Young,822,936,115,893.7,255.7,892.2,507.1,6.36,282
212,1,10,A,20,1.182,1,0,Young,960,990,31,913.5,553.4,897,652.4,2.44,124
213,1,10,A,21,2.615,0,0,Young,195,260,66,988.7,476.8,892.3,259,5.8,408
214,1,10,A,22,1.074,0,0,Young,505,621,117,908,286.2,935.3,724.1,10.81,354
215,1,10,A,23,3.395,0,0,Young,771,846,76,933.8,721.8,924.9,238.5,11.93,607
216,1,10,A,24,0.945,0,0,Young,190,242,53,803.8,365.4,814.4,246.9,3.03,440
217,1,10,A,25,0.529,1,0,Young,486,607,122,803.3,248.7,966.2,902.2,15.98,330
218,1,10,A,26,2.683,0,0,Young,663,738,76,928.7,822.6,844.2,294.9,12.92,321
219,1,10,A,27,0.683,1,0,Young,817,869,53,865.6,323.9,824.6,208.7,3.05,425
220,1,10,A,28,2.738,1,0,Young,226,265,40,845.9,267,916.4,278.1,1.34,198
221,1,10,A,29,0.796,1,0,Young,435,459,25,938.5,298.7,974.3,403.3,2.74,190
222,1,10,A,30,8.538,0,0,Young,483,565,83,963.6,431.5,971.2,930.8,11.85,264
223,1,10,A,31,6.021,0,0,Young,739,822,84,979.8,917.3,923.2,212.9,16.96,726
224,1,10,A,32,0.752,1,0,Young,335,378,44,831.7,265.7,912,254.3,1.53,182
225,1,11,AV,17,2.378,1,0,Young,547,659,113,930.1,271.4,895.6,801.3,12.94,284
226,1,11,AV,18,0.624,0,0,Young,780,859,80,913.7,785.6,921.2,255.2,12.98,627
227,1,11,AV,19,0.974,1,0,Young,118,187,70,1024.2,433.2,836.3,244.7,5.93,279
228,1,11,AV,20,0.9,1,0,Young,407,547,141,840.7,267.9,824.6,880.1,14.75,365
229,1,11,AV,21,2.099,1,0,Young,681,764,84,832.8,854.3,774.7,204.7,15.78,644
230,1,11,AV,22,1.466,1,0,Young,57,240,184,205.9,1357.5,836.9,323.4,24.92,481
231,1,11,AV,23,0.935,1,0,Young,364,396,33,849.5,328,883.5,278,1.43,227
232,1,11,AV,24,5.133,0,0,Young,606,656,51,882,277,876,506,5.78,320
233,1,11,AV,25,4.605,0,0,Young,818,869,52,883.1,543.7,911.1,314.9,5.77,434
234,1,11,AV,26,1.093,1,0,Young,178,231,54,794.6,265.6,897,371.6,3.31,285
235,1,11,AV,27,1.081,1,0,Young,435,483,49,906.7,401.5,869.7,283.8,3.07,358
236,1,11,AV,28,0.653,1,0,Young,573,690,118,869.8,268.7,913.6,754.4,11.96,281
237,1,11,AV,29,0.778,0,0,Young,850,922,73,920.9,763.9,877.8,338.1,10.44,634
238,1,11,AV,30,1.655,1,0,Young,192,242,51,837,266,942.4,343.8,2.79,319
239,1,11,AV,31,3.714,1,0,Young,401,466,66,952.1,358.5,926.8,194.6,4.22,371
240,1,11,AV,32,1.986,0,0,Young,670,764,95,929,224.6,961.7,770,13.41,364
